r	V(r)
0	-38.0522
0.1	-38.0519
0.2	-38.0515
0.3	-38.051
0.4	-38.0505
0.5	-38.0499
0.6	-38.0493
0.7	-38.0485
0.8	-38.0476
0.9	-38.0466
1	-38.0455
1.1	-38.0442
1.2	-38.0427
1.3	-38.041
1.4	-38.039
1.5	-38.0368
1.6	-38.0343
1.7	-38.0314
1.8	-38.0281
1.9	-38.0243
2	-38.02
2.1	-38.015
2.2	-38.0094
2.3	-38.003
2.4	-37.9956
2.5	-37.9872
2.6	-37.9776
2.7	-37.9667
2.8	-37.9541
2.9	-37.9399
3	-37.9235
3.1	-37.9049
3.2	-37.8837
3.3	-37.8594
3.4	-37.8317
3.5	-37.8002
3.6	-37.7641
3.7	-37.7231
3.8	-37.6762
3.9	-37.6229
4	-37.5621
4.1	-37.4929
4.2	-37.4141
4.3	-37.3245
4.4	-37.2227
4.5	-37.107
4.6	-36.9756
4.7	-36.8267
4.8	-36.658
4.9	-36.4671
5	-36.2514
5.1	-36.008
5.2	-35.7339
5.3	-35.4258
5.4	-35.0801
5.5	-34.6933
5.6	-34.2617
5.7	-33.7815
5.8	-33.249
5.9	-32.6607
6	-32.0135
6.1	-31.3046
6.2	-30.5322
6.3	-29.695
6.4	-28.7928
6.5	-27.8268
6.6	-26.7995
6.7	-25.7147
6.8	-24.578
6.9	-23.3962
7	-22.1778
7.1	-20.9321
7.2	-19.6698
7.3	-18.4018
7.4	-17.1393
7.5	-15.8934
7.6	-14.6745
7.7	-13.4922
7.8	-12.3548
7.9	-11.2693
8	-10.2412
8.1	-9.27434
8.2	-8.37132
8.3	-7.53322
8.4	-6.75991
8.5	-6.05025
8.6	-5.40223
8.7	-4.81318
8.8	-4.27994
8.9	-3.79902
9	-3.36676
9.1	-2.9794
9.2	-2.63323
9.3	-2.32461
9.4	-2.05007
9.5	-1.80631
9.6	-1.59026
9.7	-1.39905
9.8	-1.23006
9.9	-1.08087
10	-0.949317
10.1	-0.833412
10.2	-0.731379
10.3	-0.641623
10.4	-0.562716
10.5	-0.493385
10.6	-0.432497
10.7	-0.379047
10.8	-0.332145
10.9	-0.291002
11	-0.25492
11.1	-0.223286
11.2	-0.195557
11.3	-0.171256
11.4	-0.149963
11.5	-0.131308
11.6	-0.114967
11.7	-0.100654
11.8	-0.0881189
11.9	-0.0771416
12	-0.0675294
12.1	-0.059113
12.2	-0.0517442
12.3	-0.0452928
12.4	-0.0396449
12.5	-0.0347007
12.6	-0.0303726
12.7	-0.0265839
12.8	-0.0232676
12.9	-0.0203647
13	-0.0178238
13.1	-0.0155999
13.2	-0.0136533
13.3	-0.0119495
13.4	-0.0104583
13.5	-0.00915315
13.6	-0.00801083
13.7	-0.00701105
13.8	-0.00613603
13.9	-0.0053702
14	-0.00469993
14.1	-0.00411332
14.2	-0.00359992
14.3	-0.00315059
14.4	-0.00275734
14.5	-0.00241317
14.6	-0.00211196
14.7	-0.00184834
14.8	-0.00161763
14.9	-0.00141572
15	-0.001239
15.1	-0.00108435
15.2	-0.000948994
15.3	-0.000830537
15.4	-0.000726866
15.5	-0.000636135
15.6	-0.000556729
15.7	-0.000487236
15.8	-0.000426416
15.9	-0.000373189
16	-0.000326605
16.1	-0.000285836
16.2	-0.000250157
16.3	-0.000218931
16.4	-0.000191602
16.5	-0.000167685
16.6	-0.000146754
16.7	-0.000128435
16.8	-0.000112403
16.9	-9.83722e-05
17	-8.60927e-05
17.1	-7.53461e-05
17.2	-6.59409e-05
17.3	-5.77097e-05
17.4	-5.0506e-05
17.5	-4.42015e-05
17.6	-3.8684e-05
17.7	-3.38552e-05
17.8	-2.96292e-05
17.9	-2.59307e-05
18	-2.26938e-05
18.1	-1.9861e-05
18.2	-1.73819e-05
18.3	-1.52121e-05
18.4	-1.33133e-05
18.5	-1.16514e-05
18.6	-1.0197e-05
18.7	-8.92414e-06
18.8	-7.81017e-06
18.9	-6.83526e-06
19	-5.98203e-06
19.1	-5.23532e-06
19.2	-4.58181e-06
19.3	-4.00988e-06
19.4	-3.50934e-06
19.5	-3.07128e-06
19.6	-2.6879e-06
19.7	-2.35238e-06
19.8	-2.05874e-06
19.9	-1.80175e-06
